t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58788,2,80.0,129.865,254.5
58790,2,80.5,117.55499999999999,234.5
58791,1,38.0,105.74,315.0
58793,3,65.0,100.04666666666668,246.33333333333334
58795,2,90.5,122.995,246.5
58796,2,60.0,99.35,326.0
58797,1,39.0,61.91,163.0
58798,3,62.333333333333336,91.70666666666666,231.33333333333334
58799,1,19.0,44.65,128.0
58800,3,81.0,127.16666666666664,305.6666666666667
58801,1,41.0,65.83,161.0
58802,4,57.25,86.74749999999999,235.75
58804,3,54.0,90.65999999999998,218.66666666666666
58805,1,77.0,116.46,274.0
58806,5,76.6,129.046,275.2
58807,1,105.0,167.11,324.0
58808,3,43.0,89.97000000000001,251.66666666666666
58809,2,65.5,125.99,311.5
58810,2,61.5,87.0,231.0
58811,2,62.0,130.19,317.0
58813,2,91.0,133.265,269.5
58814,5,68.4,104.854,244.4
58816,3,66.33333333333333,111.14,263.6666666666667
58817,3,35.666666666666664,74.83,239.33333333333334
58818,3,26.333333333333332,69.69333333333333,230.0
58819,5,33.2,68.42799999999998,197.0
58820,2,25.0,79.955,216.5
58822,2,10.5,37.46,173.0
58824,2,21.5,47.730000000000004,206.0
58826,2,36.5,62.86,186.5
58829,1,67.0,93.01,236.0
58830,1,86.0,110.21,257.0
58831,1,65.0,83.46,160.0
58832,3,24.333333333333332,46.23666666666666,195.66666666666666
58833,1,9.0,27.61,60.0
58834,1,3.0,16.69,75.0
58835,2,373.0,473.53999999999996,603.0
58836,1,720.0,868.27,1020.0
58838,1,18.0,66.3,173.0
58839,1,31.0,62.46,262.0
58841,1,29.0,102.97,261.0
58847,1,97.0,129.49,248.0
58849,1,27.0,42.94,110.0
58852,1,85.0,119.01,242.0
58854,1,87.0,122.55,246.0
58856,2,75.5,118.13000000000001,223.5
58857,1,0.0,5.06,15.0
58858,2,30.5,63.325,190.5
58859,1,317.0,428.3,606.0
58860,2,68.5,126.96,297.5
58861,1,19.0,47.06,200.0
58862,1,101.0,161.77,430.0
58863,1,0.0,5.24,15.0
58864,1,20.0,66.11,204.0
58865,1,1.0,8.52,32.0
58870,4,26.25,47.325,163.0
58871,1,78.0,117.11,286.0
58872,1,43.0,58.2,120.0
58873,1,17.0,32.89,116.0
58874,1,36.0,50.25,115.0
58875,1,41.0,57.96,120.0
58876,3,205.0,259.93,390.0
58877,1,26.0,56.25,168.0
58878,3,238.0,307.37666666666667,480.3333333333333
58879,3,202.33333333333334,271.72333333333336,459.6666666666667
58880,3,36.666666666666664,65.78666666666668,166.0
58881,3,47.333333333333336,82.33333333333333,249.66666666666666
58882,1,11.0,45.07,131.0
58883,2,76.5,103.985,248.5
58884,2,64.5,119.94999999999999,340.5
58885,1,72.0,114.47,266.0
58886,1,122.0,183.4,374.0
58887,2,308.5,385.98,530.5
58888,1,42.0,103.46,303.0
58890,1,46.0,109.37,332.0
58891,1,130.0,179.07,318.0
58892,2,61.5,110.66,309.0
58894,1,42.0,66.99,234.0
58895,1,22.0,50.81,187.0
58896,1,100.0,140.43,304.0
58897,3,54.333333333333336,80.6,194.66666666666666
58898,2,48.0,88.435,254.0
58899,1,46.0,58.94,138.0
58900,4,83.0,125.355,262.25
58901,2,21.0,53.145,161.5
58902,2,116.5,185.6,351.0
58903,1,78.0,163.01,336.0
58904,2,57.5,92.86500000000001,228.5
58906,2,69.0,95.055,237.5
58910,1,42.0,69.25,269.0
58911,1,51.0,82.85,256.0
58912,1,0.0,8.25,92.0
58918,1,2.0,29.23,182.0
58920,4,78.5,108.3975,250.75
58921,1,33.0,58.79,212.0
58922,2,51.5,107.615,268.0
58923,2,38.0,62.535,225.5
58924,1,94.0,120.43,248.0
58926,1,98.0,132.18,246.0
58928,2,36.0,64.015,223.0
58929,1,18.0,65.07,191.0
58930,1,39.0,76.54,192.0
58932,1,41.0,86.59,201.0
58933,2,39.0,65.03,194.5
58935,1,390.0,501.58,756.0
58938,1,29.0,61.44,182.0
58942,1,52.0,82.68,243.0
58944,1,73.0,104.63,261.0
58946,2,80.0,121.6,256.5
58950,1,71.0,87.39,156.0
58955,2,60.5,96.725,230.5
58957,1,60.0,93.8,247.0
58958,1,121.0,200.77,308.0
58960,2,58.0,88.155,236.0
58961,1,36.0,51.65,131.0
58962,1,1.0,9.23,19.0
58963,2,21.0,35.595,129.0
58965,1,133.0,194.03,385.0
58966,2,467.5,557.485,674.0
